62

Culture: zh-CN 
Date: 2015/8/5 08:50:01.32652

ENLIGHT Version: 1.5.58

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: SM130
Mux Level: No Switch
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 60000 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.126
      Port: 1852

IDN: sm130
Image ID: 2.0h
S/N: SIABSU

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Gain (dB): 0.0 dB
	Noise Thresh.: 200

CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Gain (dB): 0.0 dB
	Noise Thresh.: 200

CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Gain (dB): 0.0 dB
	Noise Thresh.: 200

CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Gain (dB): 0.0 dB
	Noise Thresh.: 200

s1_1 (NA, Strain): "(1e6*FBG_A1_N)/Fg-EpsT0", Range (-2039.722, 2062.074), Limits (NA, NA), Constants ( Fg=0.890, CTEs=0.000, C1=6.156, C2=0.700, FBG_A1_0=1543.738, FBG_A2_0=1553.234 ), Description: ""
	EpsT0: (DeltaT)*(C1/Fg+CTEs-C2)
	DeltaT: T1_1
s2_2 (NA, Strain): "(1e6*FBG_A1_N)/Fg-EpsT0", Range (-658.066, 675.557), Limits (NA, NA), Constants ( Fg=0.890, CTEs=10.000, C1=6.156, C2=0.700, FBG_A1_0=1543.740, FBG_A2_0=1553.226 ), Description: ""
	EpsT0: (DeltaT)*(C1/Fg+CTEs-C2)
	DeltaT: T1_1
t1_1_1 (NA, Temperature): "(FBG_A2-1553.226)*1000/28.9+25.5", Range (-112.994, 163.822), Limits (0.000, 35.000), Constants (  ), Description: ""
T1_1 (NA, Temperature): "1e3*(FBG_A2_D/St)", Range (-142.293, 134.523), Limits (NA, NA), Constants ( St=28.900, FBG_A2_0=1553.336 ), Description: ""

FBG_A1 (FBG): #Avg = 1, Alpha = 0.00, Range (1539.751, 1547.751), Distance = 0 m
FBG_A2 (FBG): #Avg = 1, Alpha = 0.00, Range (1549.224, 1557.224), Distance = 0 m

Timestamp	s1_1	s2_2	t1_1_1	T1_1	FBG_A1	FBG_A2
2015/8/5 08:50:01.45714	18.704	16.925	25.349	-3.950	1543.76054	1553.22164
2015/8/5 08:50:01.45814	17.678	16.604	25.279	-4.021	1543.75853	1553.21960
2015/8/5 08:50:01.45914	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.46014	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.46114	17.451	15.672	25.349	-3.950	1543.75882	1553.22164
2015/8/5 08:50:01.46214	17.678	16.604	25.279	-4.021	1543.75853	1553.21960
2015/8/5 08:50:01.46314	18.704	16.925	25.349	-3.950	1543.76054	1553.22164
2015/8/5 08:50:01.46414	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.46514	18.704	16.925	25.349	-3.950	1543.76054	1553.22164
2015/8/5 08:50:01.46614	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.46714	19.107	17.975	25.284	-4.015	1543.76054	1553.21977
2015/8/5 08:50:01.46814	17.678	16.604	25.279	-4.021	1543.75853	1553.21960
2015/8/5 08:50:01.46914	19.142	18.067	25.279	-4.021	1543.76054	1553.21960
2015/8/5 08:50:01.47014	17.275	15.550	25.344	-3.956	1543.75853	1553.22148
2015/8/5 08:50:01.47114	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.47214	18.491	16.711	25.349	-3.950	1543.76025	1553.22164
2015/8/5 08:50:01.47314	18.704	16.925	25.349	-3.950	1543.76054	1553.22164
2015/8/5 08:50:01.47414	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.47514	18.670	16.835	25.355	-3.945	1543.76054	1553.22180
2015/8/5 08:50:01.47614	17.275	15.550	25.344	-3.956	1543.75853	1553.22148
2015/8/5 08:50:01.47714	17.889	16.815	25.279	-4.021	1543.75882	1553.21960
2015/8/5 08:50:01.47814	17.031	15.251	25.349	-3.950	1543.75824	1553.22164
2015/8/5 08:50:01.47914	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.48014	17.275	15.550	25.344	-3.956	1543.75853	1553.22148
2015/8/5 08:50:01.48114	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.48214	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.48314	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.48414	17.451	15.672	25.349	-3.950	1543.75882	1553.22164
2015/8/5 08:50:01.48514	18.738	17.014	25.344	-3.956	1543.76054	1553.22148
2015/8/5 08:50:01.48614	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.48714	17.678	16.604	25.279	-4.021	1543.75853	1553.21960
2015/8/5 08:50:01.48814	17.678	16.604	25.279	-4.021	1543.75853	1553.21960
2015/8/5 08:50:01.48914	17.275	15.550	25.344	-3.956	1543.75853	1553.22148
2015/8/5 08:50:01.49014	18.491	16.711	25.349	-3.950	1543.76025	1553.22164
2015/8/5 08:50:01.49114	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.49214	17.451	15.672	25.349	-3.950	1543.75882	1553.22164
2015/8/5 08:50:01.49314	17.678	16.604	25.279	-4.021	1543.75853	1553.21960
2015/8/5 08:50:01.49414	19.142	18.067	25.279	-4.021	1543.76054	1553.21960
2015/8/5 08:50:01.49514	17.451	15.672	25.349	-3.950	1543.75882	1553.22164
2015/8/5 08:50:01.49614	19.142	18.067	25.279	-4.021	1543.76054	1553.21960
2015/8/5 08:50:01.49714	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.49814	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.49914	18.525	16.801	25.344	-3.956	1543.76025	1553.22148
2015/8/5 08:50:01.50014	17.031	15.251	25.349	-3.950	1543.75824	1553.22164
2015/8/5 08:50:01.50114	17.486	15.761	25.344	-3.956	1543.75882	1553.22148
2015/8/5 08:50:01.50214	18.704	16.925	25.349	-3.950	1543.76054	1553.22164
2015/8/5 08:50:01.50314	17.275	15.550	25.344	-3.956	1543.75853	1553.22148
2015/8/5 08:50:01.50414	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.50514	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.50614	18.670	16.835	25.355	-3.945	1543.76054	1553.22180
2015/8/5 08:50:01.50714	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.50814	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.50914	18.491	16.711	25.349	-3.950	1543.76025	1553.22164
2015/8/5 08:50:01.51014	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.51114	17.031	15.251	25.349	-3.950	1543.75824	1553.22164
2015/8/5 08:50:01.51214	17.451	15.672	25.349	-3.950	1543.75882	1553.22164
2015/8/5 08:50:01.51314	18.704	16.925	25.349	-3.950	1543.76054	1553.22164
2015/8/5 08:50:01.51414	18.704	16.925	25.349	-3.950	1543.76054	1553.22164
2015/8/5 08:50:01.51514	17.275	15.550	25.344	-3.956	1543.75853	1553.22148
2015/8/5 08:50:01.51614	17.451	15.672	25.349	-3.950	1543.75882	1553.22164
2015/8/5 08:50:01.51714	18.929	17.854	25.279	-4.021	1543.76025	1553.21960
2015/8/5 08:50:01.51814	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.51914	17.065	15.341	25.344	-3.956	1543.75824	1553.22148
2015/8/5 08:50:01.52014	17.643	16.511	25.284	-4.015	1543.75853	1553.21977
2015/8/5 08:50:01.52114	16.997	15.162	25.355	-3.945	1543.75824	1553.22180
2015/8/5 08:50:01.52214	18.525	16.801	25.344	-3.956	1543.76025	1553.22148
2015/8/5 08:50:01.52314	18.738	17.014	25.344	-3.956	1543.76054	1553.22148
2015/8/5 08:50:01.52414	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.52514	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.52614	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.52714	19.107	17.975	25.284	-4.015	1543.76054	1553.21977
2015/8/5 08:50:01.52814	19.142	18.067	25.279	-4.021	1543.76054	1553.21960
2015/8/5 08:50:01.52914	17.206	15.372	25.355	-3.945	1543.75853	1553.22180
2015/8/5 08:50:01.53014	17.643	16.511	25.284	-4.015	1543.75853	1553.21977
2015/8/5 08:50:01.53114	19.142	18.067	25.279	-4.021	1543.76054	1553.21960
2015/8/5 08:50:01.53214	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.53314	16.835	14.405	25.414	-3.885	1543.75853	1553.22352
2015/8/5 08:50:01.53414	17.275	15.550	25.344	-3.956	1543.75853	1553.22148
2015/8/5 08:50:01.53514	18.929	17.854	25.279	-4.021	1543.76025	1553.21960
2015/8/5 08:50:01.53614	17.643	16.511	25.284	-4.015	1543.75853	1553.21977
2015/8/5 08:50:01.53714	18.929	17.854	25.279	-4.021	1543.76025	1553.21960
2015/8/5 08:50:01.53814	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.53914	17.451	15.672	25.349	-3.950	1543.75882	1553.22164
2015/8/5 08:50:01.54014	17.451	15.672	25.349	-3.950	1543.75882	1553.22164
2015/8/5 08:50:01.54114	19.142	18.067	25.279	-4.021	1543.76054	1553.21960
2015/8/5 08:50:01.54214	17.678	16.604	25.279	-4.021	1543.75853	1553.21960
2015/8/5 08:50:01.54314	17.486	15.761	25.344	-3.956	1543.75882	1553.22148
2015/8/5 08:50:01.54414	18.491	16.711	25.349	-3.950	1543.76025	1553.22164
2015/8/5 08:50:01.54514	18.491	16.711	25.349	-3.950	1543.76025	1553.22164
2015/8/5 08:50:01.54614	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.54714	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.54814	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.54914	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.55014	19.142	18.067	25.279	-4.021	1543.76054	1553.21960
2015/8/5 08:50:01.55114	17.643	16.511	25.284	-4.015	1543.75853	1553.21977
2015/8/5 08:50:01.55214	18.704	16.925	25.349	-3.950	1543.76054	1553.22164
2015/8/5 08:50:01.55314	19.142	18.067	25.279	-4.021	1543.76054	1553.21960
2015/8/5 08:50:01.55414	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.55514	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.55614	17.678	16.604	25.279	-4.021	1543.75853	1553.21960
2015/8/5 08:50:01.55714	19.107	17.975	25.284	-4.015	1543.76054	1553.21977
2015/8/5 08:50:01.55814	17.486	15.761	25.344	-3.956	1543.75882	1553.22148
2015/8/5 08:50:01.55914	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.56014	17.889	16.815	25.279	-4.021	1543.75882	1553.21960
2015/8/5 08:50:01.56114	17.643	16.511	25.284	-4.015	1543.75853	1553.21977
2015/8/5 08:50:01.56214	17.678	16.604	25.279	-4.021	1543.75853	1553.21960
2015/8/5 08:50:01.56314	18.738	17.014	25.344	-3.956	1543.76054	1553.22148
2015/8/5 08:50:01.56414	17.451	15.672	25.349	-3.950	1543.75882	1553.22164
2015/8/5 08:50:01.56514	17.275	15.550	25.344	-3.956	1543.75853	1553.22148
2015/8/5 08:50:01.56614	18.953	17.229	25.344	-3.956	1543.76083	1553.22148
2015/8/5 08:50:01.56714	17.240	15.461	25.349	-3.950	1543.75853	1553.22164
2015/8/5 08:50:01.56814	18.491	16.711	25.349	-3.950	1543.76025	1553.22164
